	acetate (total)	no3 (total)	no2 (total)	no (total)	n2o (total)	n2 (total)	leu (total)	pyr (total)	for (total)	succ (total)	fum (total)	i (total)	acetate (3H11)	no3 (3H11)	no2 (3H11)	no (3H11)	n2o (3H11)	n2 (3H11)	leu (3H11)	pyr (3H11)	for (3H11)	succ (3H11)	fum (3H11)	i (3H11)	growth (3H11)	acetate (R12)	no3 (R12)	no2 (R12)	no (R12)	n2o (R12)	n2 (R12)	leu (R12)	pyr (R12)	for (R12)	succ (R12)	fum (R12)	i (R12)	growth (R12)
0	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	0	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	0	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	0	2.391024e-06
1	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	1	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	1	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	1	2.391024e-06
2	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	2	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	2	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	2	2.391024e-06
3	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	3	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	3	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	3	2.391024e-06
4	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	4	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	4	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	4	2.391024e-06
5	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	5	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	5	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	5	2.391024e-06
6	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	6	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	6	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	6	2.391024e-06
7	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	7	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	7	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	7	2.391024e-06
8	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	8	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	8	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	8	2.391024e-06
9	0.007963372918691812	0.015765185	1.5719405314387064e-05	0	-0.007890444551185944	-7.651471249742465e-09	0	0	0	0	0	9	-0.007963372918691812	-0.013600931789312602	0.013600931789312602	0.0	-7.651471249742465e-09	7.651471249742465e-09	0	0.003626144140223984	-3.825735624871209e-08	0	0	9	1.5940160000000001e-06	0.0	-0.0021642532106873995	-0.013616651194626989	0.0	0.007890452202657194	0	0	-0.003626144140223984	3.825735624871209e-08	0	0	9	2.391024e-06
